brand_name,generic_name,components,drug_class
Azee,azithromycin,,Antibiotic/Macrolide
Zithromax,azithromycin,,Antibiotic/Macrolide
Augmentin,amoxicillin+clavulanate,amoxicillin 500mg|clavulanate 125mg,Antibiotic/Penicillin+BLI
Clavam,amoxicillin+clavulanate,amoxicillin 500mg|clavulanate 125mg,Antibiotic/Penicillin+BLI
Ciplox,ciprofloxacin,,Antibiotic/Fluoroquinolone
Cifran,ciprofloxacin,,Antibiotic/Fluoroquinolone
Taxim,cefotaxime,,Antibiotic/Cephalosporin
Monocef,ceftriaxone,,Antibiotic/Cephalosporin
Amoxil,amoxicillin,,Antibiotic/Penicillin
Novamox,amoxicillin,,Antibiotic/Penicillin
Mox,amoxicillin,,Antibiotic/Penicillin
Sporidex,cephalexin,,Antibiotic/Cephalosporin
Klaricid,clarithromycin,,Antibiotic/Macrolide
Biaxin,clarithromycin,,Antibiotic/Macrolide
Norflox,norfloxacin,,Antibiotic/Fluoroquinolone
Oflox,ofloxacin,,Antibiotic/Fluoroquinolone
Vibramycin,doxycycline,,Antibiotic/Tetracycline
Doxycycline,doxycycline,,Antibiotic/Tetracycline
Clindac,clindamycin,,Antibiotic/Lincosamide
Metronidazole,metronidazole,,Antibiotic/Nitroimidazole
Flagyl,metronidazole,,Antibiotic/Nitroimidazole
Rifagut,rifaximin,,Antibiotic/GI
Pantocid DSR,pantoprazole+domperidone,pantoprazole 40mg|domperidone 10mg,PPI+Prokinetic
Pan D,pantoprazole+domperidone,pantoprazole 40mg|domperidone 10mg,PPI+Prokinetic
Omez D,omeprazole+domperidone,omeprazole 20mg|domperidone 10mg,PPI+Prokinetic
Combiflam,ibuprofen+paracetamol,ibuprofen 400mg|paracetamol 325mg,NSAID+Analgesic
Dolo 650,paracetamol,,Analgesic
Cheston Cold,cetirizine+paracetamol+pseudoephedrine,cetirizine 5mg|paracetamol 500mg|pseudoephedrine 30mg,Antihistamine+Analgesic+Decongestant
Sinarest,cetirizine+paracetamol+phenylephrine,cetirizine 5mg|paracetamol 500mg|phenylephrine 10mg,Antihistamine+Analgesic+Decongestant
Wikoryl,cetirizine+paracetamol+phenylephrine,cetirizine 5mg|paracetamol 500mg|phenylephrine 10mg,Antihistamine+Analgesic+Decongestant
